# j        y/delta             y+           Prod       P_strain      Pres_diff      Visc_diff      Turb_diff           Diss       Residual
162   0.749092E+00   0.481322E+03   0.145523E-02   0.758942E-18  -0.272943E-03   0.134663E-04   0.120184E-02  -0.237793E-02   0.196667E-04
163   0.757020E+00   0.486415E+03   0.137451E-02  -0.542101E-18  -0.272019E-03   0.148309E-04   0.122859E-02  -0.232656E-02   0.193571E-04
164   0.764964E+00   0.491520E+03   0.129528E-02  -0.140946E-17  -0.271829E-03   0.158862E-04   0.125674E-02  -0.227671E-02   0.193625E-04
165   0.772924E+00   0.496634E+03   0.121746E-02   0.303577E-17  -0.272327E-03   0.161388E-04   0.128635E-02  -0.222814E-02   0.194821E-04
166   0.780899E+00   0.501759E+03   0.114104E-02   0.108420E-17  -0.272950E-03   0.157476E-04   0.131626E-02  -0.218085E-02   0.192490E-04
167   0.788888E+00   0.506892E+03   0.106618E-02   0.102999E-17  -0.272828E-03   0.156747E-04   0.134542E-02  -0.213518E-02   0.192643E-04
168   0.796892E+00   0.512035E+03   0.992942E-03  -0.596311E-18  -0.271265E-03   0.158630E-04   0.137274E-02  -0.209106E-02   0.192186E-04
169   0.804910E+00   0.517187E+03   0.921395E-03   0.487891E-18  -0.267923E-03   0.160032E-04   0.139766E-02  -0.204834E-02   0.187906E-04
170   0.812940E+00   0.522347E+03   0.851781E-03   0.487891E-18  -0.263060E-03   0.165516E-04   0.142057E-02  -0.200740E-02   0.184408E-04
171   0.820983E+00   0.527514E+03   0.784228E-03   0.146367E-17  -0.257474E-03   0.170990E-04   0.144241E-02  -0.196832E-02   0.179432E-04
172   0.829038E+00   0.532690E+03   0.718722E-03  -0.168051E-17  -0.252370E-03   0.173711E-04   0.146457E-02  -0.193103E-02   0.172667E-04
173   0.837105E+00   0.537873E+03   0.655415E-03   0.119262E-17  -0.248502E-03   0.180699E-04   0.148747E-02  -0.189576E-02   0.166882E-04
174   0.845182E+00   0.543063E+03   0.594556E-03   0.542101E-18  -0.245749E-03   0.190279E-04   0.151080E-02  -0.186249E-02   0.161387E-04
175   0.853270E+00   0.548260E+03   0.536271E-03   0.487891E-18  -0.243870E-03   0.197934E-04   0.153419E-02  -0.183100E-02   0.153861E-04
176   0.861367E+00   0.553463E+03   0.480628E-03   0.650521E-18  -0.242568E-03   0.209700E-04   0.155705E-02  -0.180132E-02   0.147555E-04
177   0.869474E+00   0.558672E+03   0.427690E-03  -0.113841E-17  -0.241233E-03   0.225679E-04   0.157837E-02  -0.177341E-02   0.139834E-04
178   0.877589E+00   0.563886E+03   0.377476E-03   0.271051E-18  -0.239194E-03   0.236147E-04   0.159814E-02  -0.174701E-02   0.130352E-04
179   0.885713E+00   0.569106E+03   0.330078E-03   0.102999E-17  -0.236110E-03   0.240620E-04   0.161650E-02  -0.172223E-02   0.123041E-04
180   0.893844E+00   0.574331E+03   0.285703E-03  -0.650521E-18  -0.231960E-03   0.242649E-04   0.163267E-02  -0.169919E-02   0.114828E-04
181   0.901983E+00   0.579560E+03   0.244463E-03   0.758942E-18  -0.226987E-03   0.243283E-04   0.164681E-02  -0.167786E-02   0.107517E-04
182   0.910128E+00   0.584794E+03   0.206324E-03  -0.650521E-18  -0.221583E-03   0.248937E-04   0.165920E-02  -0.165850E-02   0.103343E-04
183   0.918279E+00   0.590031E+03   0.171235E-03  -0.542101E-18  -0.216173E-03   0.258399E-04   0.167000E-02  -0.164095E-02   0.995551E-05
184   0.926435E+00   0.595272E+03   0.139206E-03  -0.867362E-18  -0.211267E-03   0.268022E-04   0.167995E-02  -0.162501E-02   0.967570E-05
185   0.934597E+00   0.600516E+03   0.110309E-03  -0.243945E-18  -0.206997E-03   0.277667E-04   0.168935E-02  -0.161079E-02   0.963115E-05
186   0.942763E+00   0.605763E+03   0.846366E-04  -0.406576E-18  -0.203339E-03   0.286533E-04   0.169790E-02  -0.159834E-02   0.951047E-05
187   0.950932E+00   0.611012E+03   0.622513E-04   0.542101E-18  -0.200345E-03   0.298054E-04   0.170546E-02  -0.158775E-02   0.942004E-05
188   0.959105E+00   0.616263E+03   0.432158E-04   0.271051E-19  -0.197859E-03   0.314354E-04   0.171194E-02  -0.157911E-02   0.961694E-05
189   0.967281E+00   0.621517E+03   0.276200E-04   0.298156E-18  -0.195925E-03   0.325775E-04   0.171751E-02  -0.157207E-02   0.970918E-05
190   0.975459E+00   0.626771E+03   0.155093E-04   0.487891E-18  -0.194561E-03   0.328982E-04   0.172228E-02  -0.156643E-02   0.969798E-05
191   0.983638E+00   0.632027E+03   0.687689E-05  -0.243945E-18  -0.193510E-03   0.328671E-04   0.172615E-02  -0.156234E-02   0.100426E-04
192   0.991819E+00   0.637283E+03   0.171432E-05   0.433681E-18  -0.192892E-03   0.323596E-04   0.172878E-02  -0.155979E-02   0.101688E-04
193   0.100000E+01   0.642540E+03   0.000000E+00   0.623416E-18  -0.192747E-03   0.319279E-04   0.172972E-02  -0.155887E-02   0.100314E-04
