"Iteration","Turbolent KE - Vol Avg Monitor: Turbolent KE - Vol Avg Monitor (J/kg)","Velocity - Vol Avg Monitor: Velocity - Vol Avg Monitor (m/s)"
293.0,1.3023247970685105E8,186915.11081679098
296.0,1.2959029613331638E8,186642.65622007824
299.0,1.2897948970608088E8,186370.55635711688
302.0,1.2839885267628057E8,186098.82260593443
305.0,1.2784717860312599E8,185827.46496641883
308.0,1.2732327151492435E8,185556.49204559476
311.0,1.2682595488457462E8,185285.91116002516
314.0,1.2635406189669555E8,185015.72867926402
317.0,1.2590643435485932E8,184745.95052303863
321.0,1.2534537708755864E8,184386.8852617893
324.0,1.2494995620602022E8,184118.07263447926
327.0,1.245750439492471E8,183849.68230548294
330.0,1.2421954958893342E8,183581.71824071085
333.0,1.2388240943045147E8,183314.18341617464
336.0,1.2356258166592254E8,183047.08009249566
339.0,1.2325905375105593E8,182780.40999825636
342.0,1.2297084564388293E8,182514.174728494
345.0,1.2269701027710062E8,182248.37608855343
348.0,1.2243662385658734E8,181983.015607285
352.0,1.2210879710629068E8,181629.8846376222
355.0,1.2188226419293192E8,181365.54885542882
358.0,1.2167800067574474E8,181101.66222383687
361.0,1.2148334189729549E8,180838.22784796756
364.0,1.2129738939858404E8,180575.24578689635
367.0,1.2111914654450364E8,180312.71439042946
370.0,1.2094772688484538E8,180050.6313152506
373.0,1.2078231875577234E8,179788.99399261977
376.0,1.2062214819073446E8,179527.79949640323
380.0,1.2041547446082167E8,179180.2230745022
383.0,1.2026476785534333E8,178920.0483526742
386.0,1.201170666755196E8,178660.30486293117
389.0,1.199718027200095E8,178400.98911499663
392.0,1.1982843664626074E8,178142.09758833025
395.0,1.1968645939249583E8,177883.62669807556
398.0,1.1954539343714185E8,177625.57260058777
401.0,1.1940478761349428E8,177367.9315454526
404.0,1.1926422645734687E8,177110.6997785684
408.0,1.1907622601270553E8,176768.35430077408
411.0,1.1893434573248002E8,176512.06319766995
414.0,1.1879137046271566E8,176256.1693738421
417.0,1.1864702000678088E8,176000.66931432192
420.0,1.1850103658323187E8,175745.55950585636
423.0,1.1835318345967698E8,175490.83638579783
