"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Z-momentum: Residual","Tke: Residual","Tdr: Residual"
87.0,1.7711523442895443E-4,0.001337047704333917,5.018634681745901E-4,0.0013046738380144275,9.535667965880528E-4,0.001894126301203159
91.0,1.505599764823384E-4,0.0011556108047744494,4.269012087961337E-4,0.0011481058781629353,8.079772568834055E-4,0.001617702477472457
94.0,1.3290217374964432E-4,0.001034600634918909,3.756353282157926E-4,0.0010436935177078317,7.111127301622965E-4,0.001442362882005494
97.0,1.1966355411862786E-4,9.22747710957203E-4,3.348162861895683E-4,9.453161376118197E-4,6.215135849270245E-4,0.001270960401484353
100.0,1.0783509784508059E-4,8.256676387656341E-4,2.984498061346175E-4,8.559629760891134E-4,5.593077967429284E-4,0.0010995813297295961
103.0,9.542086831659727E-5,7.398570715835339E-4,2.6477420631281835E-4,7.751309540481521E-4,5.142308781861722E-4,9.661399982825973E-4
106.0,8.543699650876687E-5,6.617779364941232E-4,2.345392833581064E-4,7.017810546883381E-4,4.50983497339526E-4,8.619805724734478E-4
109.0,7.709864782598127E-5,5.912013096759382E-4,2.0903909250169318E-4,6.356288601690193E-4,3.9487029263793284E-4,7.5653322483035E-4
112.0,7.05810086423457E-5,5.292261848065772E-4,1.8674646450315987E-4,5.772017384576149E-4,3.4461533932628896E-4,6.593031232229035E-4
115.0,6.38382800401151E-5,4.7558538343770807E-4,1.6632967222230877E-4,5.255670511113927E-4,3.0167265867284777E-4,5.763754114323052E-4
119.0,5.4357465643124294E-5,4.098270034363539E-4,1.4285588160603294E-4,4.6428753506160437E-4,2.560691393875902E-4,4.8108197998976426E-4
122.0,4.897070531181538E-5,3.66406149132547E-4,1.278502781313035E-4,4.2248594437532485E-4,2.2987017503979404E-4,4.246459589900458E-4
125.0,4.4582231307806995E-5,3.2830749187035034E-4,1.1464709589437828E-4,3.847271384314682E-4,2.0902135321201022E-4,3.8353680042144833E-4
128.0,3.939370019955642E-5,2.942260439758338E-4,1.0276107574044696E-4,3.514065654634519E-4,1.9222745332191866E-4,3.5201334510900537E-4
131.0,3.461357234143075E-5,2.637516035290438E-4,9.171001891367251E-5,3.215545551815071E-4,1.782536939459166E-4,3.266519574721811E-4
134.0,3.142724436592092E-5,2.366124960502702E-4,8.189183756798386E-5,2.9483612496502756E-4,1.6624806616546818E-4,3.0813464800871554E-4
137.0,2.8137744960816306E-5,2.1289388351860997E-4,7.347473713131086E-5,2.716051792919307E-4,1.5553814772016953E-4,2.9382871648701945E-4
140.0,2.502351880640119E-5,1.918378558922939E-4,6.605680063229983E-5,2.5128812992750757E-4,1.456069074514908E-4,2.808050067183312E-4
143.0,2.213161752893524E-5,1.7269983573997525E-4,5.926816896975493E-5,2.329175412471689E-4,1.3650269645102984E-4,2.685203171817614E-4
147.0,1.9359168421196747E-5,1.500396506757904E-4,5.158150171069115E-5,2.1119573232498734E-4,1.2578957185307445E-4,2.532728401733132E-4
