  j        y/delta             y+          u_rms          v_rms          w_rms    omega_x_rms    omega_y_rms    omega_z_rms          p_rms
 64   0.129913E+00   0.834743E+02   0.186701E+01   0.104871E+01   0.132916E+01   0.100359E+00   0.913769E-01   0.910350E-01   0.244464E+01
 65   0.133975E+00   0.860840E+02   0.185630E+01   0.104856E+01   0.132394E+01   0.985770E-01   0.897756E-01   0.894121E-01   0.242563E+01
 66   0.138094E+00   0.887310E+02   0.184594E+01   0.104818E+01   0.131871E+01   0.968484E-01   0.882303E-01   0.878550E-01   0.240683E+01
 67   0.142271E+00   0.914151E+02   0.183589E+01   0.104760E+01   0.131349E+01   0.951739E-01   0.867374E-01   0.863548E-01   0.238822E+01
 68   0.146506E+00   0.941360E+02   0.182613E+01   0.104684E+01   0.130829E+01   0.935503E-01   0.852937E-01   0.849064E-01   0.236981E+01
 69   0.150798E+00   0.968936E+02   0.181662E+01   0.104591E+01   0.130312E+01   0.919709E-01   0.838964E-01   0.835075E-01   0.235161E+01
 70   0.155146E+00   0.996878E+02   0.180733E+01   0.104482E+01   0.129796E+01   0.904416E-01   0.825438E-01   0.821511E-01   0.233361E+01
 71   0.159552E+00   0.102518E+03   0.179824E+01   0.104360E+01   0.129280E+01   0.889621E-01   0.812337E-01   0.808385E-01   0.231583E+01
 72   0.164013E+00   0.105385E+03   0.178931E+01   0.104224E+01   0.128765E+01   0.875244E-01   0.799632E-01   0.795706E-01   0.229826E+01
 73   0.168530E+00   0.108288E+03   0.178054E+01   0.104077E+01   0.128250E+01   0.861305E-01   0.787306E-01   0.783384E-01   0.228092E+01
 74   0.173103E+00   0.111226E+03   0.177191E+01   0.103920E+01   0.127737E+01   0.847810E-01   0.775342E-01   0.771416E-01   0.226380E+01
 75   0.177732E+00   0.114200E+03   0.176340E+01   0.103753E+01   0.127225E+01   0.834719E-01   0.763723E-01   0.759845E-01   0.224690E+01
 76   0.182415E+00   0.117209E+03   0.175500E+01   0.103578E+01   0.126716E+01   0.822037E-01   0.752435E-01   0.748638E-01   0.223023E+01
 77   0.187153E+00   0.120253E+03   0.174670E+01   0.103394E+01   0.126210E+01   0.809727E-01   0.741459E-01   0.737786E-01   0.221377E+01
